func,omega,algorithm,s8-start,s8-final,a1-start,a1-final,a2-start,a2-final,MD,MAD,RMSD,time,errors?
wb97m,300,LN_BOBYQA,0.0,0.77933825548852420,0.6,0.73602872098999406,6.875,2.7915562028362539,0.019393,0.124973,0.185120,15,False
wb97m,300,LN_BOBYQA,0.0,1.6177354997442328E-002,0.6,-0.59187930522560583,8.5,8.1718257403279786,-0.254569,0.305607,0.460712,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932802586203320,0.8,0.73604867274650310,2.0,2.7914547856827645,0.019393,0.124973,0.185120,9,False
wb97m,300,LN_BOBYQA,0.0,0.77932571541493934,0.8,0.73603917016303189,3.625,2.7914907017694723,0.019397,0.124974,0.185120,8,False
wb97m,300,LN_BOBYQA,0.0,7.0278877072414023E-002,0.8,5.9959515293690993E-002,5.25,5.1970127844844196,-0.166263,0.238635,0.353546,2,False
wb97m,300,LN_BOBYQA,0.0,0.78060195891922846,0.8,0.73877307620423360,6.875,2.7794966139222419,0.019644,0.124969,0.185122,9,False
wb97m,300,LN_BOBYQA,0.0,7.5471870968203666E-002,0.8,0.79012673189939198,8.5,1.0079334966474094,0.036853,0.443082,0.622998,1,False
wb97m,300,LN_BOBYQA,1.75,1.7492729648742258,0.0,1.0023936048278608,2.0,2.0008967789751511,0.205485,0.238689,0.314231,1,False
wb97m,300,LN_BOBYQA,1.75,1.7693206562916011,0.0,-1.1010902217534316E-002,3.625,7.2101777056493486,-0.080720,0.227182,0.352780,1,False
wb97m,300,LN_BOBYQA,1.75,2.1975913312756473E-002,0.0,-3.6298073522700010E-004,5.25,5.2484405823821856,-0.161544,0.270790,0.399248,1,False
wb97m,300,LN_BOBYQA,1.75,0.77936700425763183,0.0,0.73605700900221094,6.875,2.7914447862357172,0.019396,0.124974,0.185120,8,False
wb97m,300,LN_BOBYQA,1.75,0.77933224130713030,0.0,0.73604599007720528,8.5,2.7914710413602779,0.019394,0.124974,0.185120,14,False
wb97m,300,LN_BOBYQA,1.75,0.77942184057821207,0.2,0.73614309764240149,2.0,2.7910872593688900,0.019405,0.124971,0.185120,12,False
wb97m,300,LN_BOBYQA,1.75,0.77932351505311470,0.2,0.73602648623090827,3.625,2.7915555323393546,0.019393,0.124973,0.185120,14,False
wb97m,300,LN_BOBYQA,1.75,0.77925620212582147,0.2,0.73592226129577187,5.25,2.7920020204759957,0.019385,0.124970,0.185120,9,False
wb97m,300,LN_BOBYQA,1.75,0.77947551157520067,0.2,0.73619234977576720,6.875,2.7909164044155457,0.019396,0.124964,0.185120,17,False
